party,Sum of Total_Votes
Abc,4150000
Lmn,3600000
Pqr,2810000
Xyz,4570000
Grand Total,15130000
,
,
,
,
,
,
,
,
,
,
,
,
Gender,Average of vote%
Female,33.39393804
Male,33.2072763
Grand Total,33.29127408
,
,
,
,
,
,
,
,
,
,
,
,
Gender,Sum of Total_Votes
Anantapur,890000
Ajay Patil,140000
Deepa Nair,170000
Keerthi Raj,130000
Kiran Gowda,180000
Ravi Kumar,130000
Suresh Naik,140000
Bangalore South,1130000
Amit Shah,160000
Arun Shetty,120000
Deepa Nair,140000
Nisha Kulkarni,140000
Pooja Rao,300000
Prakash Patil,150000
Ritika Sharma,120000
Belgaum,120000
Ajay Patil,120000
Chennai Central,850000
Amit Shah,140000
Anjali Rao,140000
Arun Shetty,120000
Keerthi Raj,160000
Lakshmi Devi,120000
Suresh Naik,170000
Coimbatore,1100000
Anjali Rao,160000
Arun Shetty,170000
Divya Sharma,140000
Harish Kumar,160000
Pooja Rao,180000
Ritika Sharma,160000
Suresh Naik,130000
Eluru,1360000
Ajay Patil,130000
Anjali Rao,160000
Arun Shetty,170000
Deepa Nair,120000
Prakash Patil,150000
Rajeev Nair,180000
Ravi Kumar,160000
Ritika Sharma,170000
Suresh Naik,120000
Guntur,440000
Amit Shah,170000
Keerthi Raj,120000
Rajeev Nair,150000
Hubli,1400000
Amit Shah,150000
Deepa Nair,350000
Harish Kumar,310000
Keerthi Raj,180000
Prakash Patil,140000
Ravi Kumar,130000
Suresh Naik,140000
Hyderabad,690000
Amit Shah,180000
Anita Desai,150000
Deepa Nair,360000
Kadapa,370000
Arun Shetty,120000
Keerthi Raj,130000
Nisha Kulkarni,120000
Kakinada,630000
Deepa Nair,160000
Divya Sharma,130000
Lakshmi Devi,180000
Ravi Kumar,160000
Kurnool,820000
Arun Shetty,150000
Rahul Verma,160000
Rajeev Nair,340000
Suresh Naik,170000
Mysore,670000
Divya Sharma,150000
Keerthi Raj,160000
Rahul Verma,180000
Suresh Naik,180000
Rajahmundry,540000
Ajay Patil,130000
Amit Shah,130000
Deepa Nair,140000
Kiran Gowda,140000
Shimoga,510000
Amit Shah,180000
Deepa Nair,170000
Prakash Patil,160000
Tirupati,1190000
Amit Shah,130000
Anita Desai,170000
Arun Shetty,160000
Lakshmi Devi,180000
Nisha Kulkarni,120000
Prakash Patil,430000
Tumkur,300000
Amit Shah,160000
Keerthi Raj,140000
Vijayawada,920000
Anita Desai,120000
Divya Sharma,150000
Keerthi Raj,170000
Kiran Gowda,150000
Lakshmi Devi,170000
Nisha Kulkarni,160000
Visakhapatnam,450000
Ajay Patil,120000
Divya Sharma,160000
Keerthi Raj,170000
Warangal,750000
Ajay Patil,150000
Anita Desai,140000
Prakash Patil,160000
Rahul Verma,180000
Ravi Kumar,120000
Grand Total,15130000
